product_name,category,min_price_inr,max_price_inr,price_unit,raw_price,supplier_name,location,state,verified,rating,review_count,min_order_qty,description,product_url,scraped_at,data_source
Chickpea (Chana Dal),Agricultural Products,1516.41,3098.76,Bag (50 Kg),"₹1,516 - ₹3,099/Kg",Advanced Solutions,Rajkot,Gujarat,True,4.1,211,1 Bag (50 Kg),High-quality chickpea (chana dal) sourced directly from manufacturers.,,2026-06-12T12:55:32.834119,synthetic
Digital Oscilloscope,Electronics,7870.17,12909.8,Unit,"₹7,870 - ₹12,910/Unit",Bharat International,Ludhiana,Punjab,True,4.0,60,50 Pack of 100,High-quality digital oscilloscope sourced directly from manufacturers.,,2026-06-12T12:55:32.821689,synthetic
Digital Oscilloscope,Electronics,19667.82,48475.01,Pack of 100,"₹19,668 - ₹48,475/Pack of 10",Apex Enterprises,Ahmedabad,Gujarat,True,4.0,203,500 Piece,High-quality digital oscilloscope sourced directly from manufacturers.,,2026-06-12T12:55:32.821605,synthetic
Tamarind Block Seedless,Agricultural Products,2993.46,5879.07,Ton,"₹2,993 - ₹5,879/Kg",Royal International,Jaipur,Rajasthan,True,,,500 Ton,High-quality tamarind block seedless sourced directly from manufacturers.,,2026-06-12T12:55:32.834997,synthetic
Tamarind Block Seedless,Agricultural Products,2352.57,4901.86,Bag (50 Kg),"₹2,353 - ₹4,902/Kg",Sri Pvt Ltd,Kolkata,West Bengal,True,4.5,77,100 Ton,High-quality tamarind block seedless sourced directly from manufacturers.,,2026-06-12T12:55:32.834981,synthetic
Polyester Woven Fabric,Textiles & Apparel,132.75,319.71,Piece,₹133 - ₹320/Meter,Sri Traders,Nagpur,Maharashtra,True,,,100 Kg,High-quality polyester woven fabric sourced directly from manufacturers.,,2026-06-12T12:55:32.822364,synthetic
Pneumatic Drill Press,Industrial Machinery,741265.91,1491977.05,Set,"₹741,266 - ₹1,491,977/Unit",National International,Rajkot,Gujarat,True,4.1,382,10 Unit,High-quality pneumatic drill press sourced directly from manufacturers.,,2026-06-12T12:55:32.812391,synthetic
Net Embroidered Lace,Textiles & Apparel,616.6,1408.68,Meter,"₹617 - ₹1,409/Meter",Royal Corporation,Surat,Gujarat,False,3.9,132,100 Kg,High-quality net embroidered lace sourced directly from manufacturers.,,2026-06-12T12:55:32.824765,synthetic
Printed Voile Fabric,Textiles & Apparel,346.45,524.1,Kg,₹346 - ₹524/Roll,Sri Enterprises,Kanpur,Uttar Pradesh,True,,,100 Meter,High-quality printed voile fabric sourced directly from manufacturers.,,2026-06-12T12:55:32.824222,synthetic
Industrial Air Compressor,Industrial Machinery,25583.88,55469.0,Piece,"₹25,584 - ₹55,469/Piece",Sri Corporation,Surat,Gujarat,False,4.6,288,100 Piece,High-quality industrial air compressor sourced directly from manufacturers.,,2026-06-12T12:55:32.811438,synthetic
IoT Gateway Device,Electronics,6066.63,11860.52,Pack of 10,"₹6,067 - ₹11,861/Unit",Bharat Industries,Coimbatore,Tamil Nadu,True,3.7,364,10 Pack of 100,High-quality iot gateway device sourced directly from manufacturers.,,2026-06-12T12:55:32.820205,synthetic
Sodium Silicate Solution,Chemical & Pharma,27964.23,35945.93,Bag,"₹27,964 - ₹35,946/Drum",Indian Manufacturers,Jaipur,Rajasthan,True,4.6,179,500 Kg,High-quality sodium silicate solution sourced directly from manufacturers.,,2026-06-12T12:55:32.830442,synthetic
Ferric Chloride Solution,Chemical & Pharma,20960.85,23336.0,Kg,"₹20,961 - ₹23,336/Litre",Advanced International,Chennai,Tamil Nadu,False,3.9,470,50 Bag,High-quality ferric chloride solution sourced directly from manufacturers.,,2026-06-12T12:55:32.829806,synthetic
Spandex Knit Fabric,Textiles & Apparel,831.68,1918.54,Piece,"₹832 - ₹1,919/Roll",Premier Works,Hyderabad,Telangana,True,4.4,423,500 Meter,High-quality spandex knit fabric sourced directly from manufacturers.,,2026-06-12T12:55:32.823624,synthetic
